failure,smart_1_raw,smart_3_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_10_raw,smart_12_raw,smart_187_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw
0,154358784,0,8,0,438484243,8218,0,8,0,0,0,3727,20,0,0,0
0,5148984,0,7,0,432794490,8193,0,7,0,0,0,10724,21,0,0,0
0,74966776,0,6,0,3457292,694,0,6,0,0,0,18512,27,0,0,0
0,208464960,0,11,0,171061080,4375,0,11,0,0,0,24571,28,0,0,1
0,115124656,0,5,0,888522976,15633,0,5,0,0,1,70739,24,0,0,0
0,135508528,0,2,0,120192988,2911,0,2,0,0,0,6981,27,0,0,0
0,0,560,23,0,0,27741,0,23,0,0,231,231,28,0,0,0
0,0,0,4,0,0,11815,0,4,0,0,79,79,24,0,0,0
0,0,622,33,0,0,47688,0,32,0,0,1403,1403,28,0,0,0
0,0,581,28,0,0,41341,0,28,0,0,1118,1118,30,0,0,0
0,92752784,0,2,0,505905179,9346,0,2,0,0,0,878,26,0,0,0
0,0,409,6,0,0,11791,0,6,0,0,54,54,35,0,0,0
0,0,620,26,0,0,39818,0,25,0,0,1643,1643,33,0,0,0
0,52464168,0,7,0,2224361,559,0,6,0,0,0,16138,34,0,0,0
0,48839696,0,1,0,183807554,5049,0,1,0,0,0,39219,23,0,0,0
0,0,628,18,0,0,35375,0,18,0,0,21,21,23,0,0,0
0,152047528,0,2,0,196387297,5507,0,2,0,0,0,33180,23,0,0,0
0,98300576,0,2,0,143257344,4018,0,2,0,0,0,40405,31,0,0,0
0,96348320,0,3,0,152080526,4015,0,3,0,0,0,39102,33,0,0,0
0,0,440,5,0,0,15467,0,5,0,0,94,94,27,0,0,0
0,120077528,0,7,0,424032973,17907,0,7,0,0,2,8692,24,0,0,0
0,0,0,3,0,0,13499,0,3,0,0,125,125,31,0,0,0
0,0,573,32,0,0,18509,0,32,0,0,201,201,25,0,0,0
0,213973464,0,1,0,170343424,4568,0,1,0,0,0,26523,22,0,0,0
0,6056416,0,2,0,223829969,5528,0,2,0,0,0,31415,18,0,0,0
0,145953264,0,3,0,167242100,4550,0,3,0,0,0,24957,21,0,0,0
0,58374416,0,6,0,602304291,10647,0,6,0,0,3,2695,19,0,0,0
0,4984480,0,4,0,209408417,5504,0,4,0,0,0,26300,23,0,0,0
0,143589872,0,1,0,196004316,5505,0,1,0,0,0,30559,25,0,0,0
0,176763992,0,5,0,99398354,2437,0,5,0,0,0,5462,34,0,0,0
0,0,437,6,0,0,14938,0,6,0,0,40,40,26,0,0,0
0,128803376,0,4,0,15424603,393,0,4,0,0,2,198,26,0,0,0
0,25729512,0,3,0,203504739,5457,0,3,0,0,0,32704,33,0,0,0
0,0,0,3,0,0,13472,0,3,0,0,71,71,23,0,0,0
0,169143136,0,2,0,572411667,6294,0,2,0,2816,0,1043,33,0,0,0
0,192812776,0,9,0,457805556,9293,0,8,0,0,0,10580,21,0,0,0
0,0,572,13,0,0,32330,0,13,0,0,16,16,34,0,0,0
0,0,0,3,0,0,13762,0,3,0,0,68,68,22,0,0,0
0,98466232,0,8,0,793670334,14578,0,8,0,0,1,15757,30,0,0,0
0,130788352,0,8,0,567041364,20238,0,8,0,0,3,19772,21,0,0,0
0,84641592,0,8,0,473112350,18942,0,8,0,0,2,6273,20,0,0,0
0,239635912,0,5,0,599617888,10616,0,5,0,0,4,1659,16,0,0,0
0,52456216,0,4,0,2616063,542,0,3,0,0,0,15987,25,0,0,0
0,0,0,4,0,0,11937,0,4,0,0,164,164,24,0,0,0
0,110290944,0,2,0,68645395,1538,0,2,0,0,0,7484,22,0,0,0
0,0,565,29,0,0,23448,0,29,0,0,38,38,32,0,0,0
0,0,3575,56,0,0,24073,0,54,0,0,33,22,27,0,0,0
0,242152392,0,13,0,282316673,5889,0,2,0,0,0,9765,36,0,0,0
0,33321824,0,10,0,596352346,9636,0,10,0,0,0,19544,18,0,0,0
0,0,0,3,0,0,13329,0,3,0,0,128,128,26,0,0,0
0,0,0,5,0,0,9381,0,5,0,0,0,472,28,0,0,0
0,0,1508,8,0,0,9931,0,8,0,0,0,98,22,0,0,0
0,0,524,11,0,0,13831,0,11,0,0,92,92,37,0,0,0
0,123996128,0,6,0,167274629,2721,0,6,0,0,0,4649,19,0,0,0
0,218485336,0,25,0,573413780,27545,0,25,0,0,0,194880,29,0,0,0
0,0,448,5,0,0,14935,0,5,0,0,75,75,23,0,0,0
0,220438160,0,7,0,202217953,16499,0,7,0,0,1,9675,30,0,0,0
0,57724224,0,8,0,286454597,16686,0,8,0,0,1,9758,24,0,0,0
0,198743672,0,4,0,523181259,10401,0,4,0,0,2,2658,23,0,0,0
0,97606040,0,5,0,66276960,1539,0,5,0,0,0,7408,21,0,0,0
0,0,557,11,0,0,15367,0,11,0,0,64,64,27,0,0,0
0,207052240,0,5,0,69992201,1545,0,5,0,0,0,5041,31,0,0,0
0,210371760,0,8,0,525671414,10639,0,8,0,0,5,2195,23,0,0,0
0,148516112,0,2,0,65996410,1542,0,2,0,0,0,4935,21,0,0,0
0,0,577,13,0,0,32620,0,13,0,0,13,13,26,0,0,0
0,0,2025,10,0,0,713,0,10,0,0,0,0,30,0,0,4
0,0,568,14,0,0,26662,0,14,0,0,236,236,26,0,0,0
0,22333768,0,2,0,68309872,1539,0,2,0,0,0,7413,25,0,0,0
0,76156824,0,5,0,143130756,4014,0,4,0,0,0,39551,25,0,0,0
0,0,559,12,0,0,32703,0,12,0,0,15,15,29,0,0,0
0,0,626,19,0,0,41567,0,19,0,0,1016,1016,32,0,0,0
0,0,616,14,0,0,44786,0,14,0,0,1245,1245,24,0,0,21
0,0,6233,44,0,0,14082,0,44,0,0,25,83,23,0,0,0
0,196710192,0,15,0,552456669,20295,0,15,0,0,6,26000,27,0,0,0
0,0,552,20,0,0,27211,0,20,0,0,315,315,28,0,0,204
0,237242848,0,2,0,209832788,4089,0,0,0,0,0,2637,26,0,0,0
0,62203784,0,5,0,3981688,703,0,4,0,0,0,17934,24,0,0,0
0,0,630,10,0,0,25754,0,10,0,0,12,12,25,0,0,0
0,0,0,3,0,0,13981,0,3,0,0,102,102,25,0,0,0
0,0,0,3,0,0,12755,0,3,0,0,62,62,32,0,0,0
0,196630,616,16,0,0,41843,0,16,0,0,1005,1005,24,0,0,0
0,0,573,20,0,0,25781,0,19,0,0,23,23,19,0,0,0
0,159682272,0,5,0,106076967,2435,0,5,0,0,0,5458,35,0,0,0
0,0,6367,12,0,0,7379,0,12,0,3,0,93,34,0,0,0
0,227559008,0,2,0,435545562,9918,0,2,0,0,0,9673,30,0,0,0
0,0,0,4,0,0,12634,0,4,0,0,34,34,35,0,0,0
0,0,444,9,0,0,14937,0,9,0,0,53,53,31,0,0,0
0,0,0,3,0,0,12754,0,3,0,0,138,138,34,0,0,0
0,51144560,0,11,0,4771428240,6611,0,10,0,5263,0,34156,21,0,0,0
0,0,451,8,0,0,13665,0,8,0,0,196,196,24,0,0,0
0,123676080,0,2,0,559595692,6294,0,2,0,2005,0,2783,34,0,0,0
0,0,635,30,0,0,42450,0,29,0,0,1286,1286,33,0,0,0
0,15125600,0,8,0,278398500,16686,0,8,0,0,1,12179,26,0,0,3
0,171491028,0,9,0,690168347,7377,0,8,0,2863,0,351,28,0,0,0
0,148372724,0,3,0,473384892,6631,0,3,0,4375,0,4565,24,0,0,0
0,0,0,3,0,0,11815,0,3,0,0,75,75,35,0,0,0
0,77940632,0,5,0,532816661,6414,0,5,0,1761,0,6530,19,0,0,0
0,177525848,0,6,0,120373089,2461,0,6,0,0,1,5514,31,0,0,0
0,0,0,3,0,0,12416,0,3,0,0,172,172,23,0,0,0
0,0,440,6,0,0,15349,0,6,0,0,46,46,23,0,0,0
0,96635584,0,8,0,278263400,16685,0,8,0,0,1,12270,24,0,0,0
0,0,560,19,0,0,27996,0,19,0,0,221,221,27,0,0,0
0,137501824,0,12,0,471603710,6607,0,11,0,4046,0,5452,23,0,0,0
0,0,0,3,0,0,11077,0,3,0,0,52,52,23,0,0,0
0,0,559,23,0,0,26685,0,22,0,0,244,244,20,0,0,0
0,106885487,0,19,0,579194380,6628,0,18,0,15194,0,21079,23,0,0,0
