SN,SFR_L,SFR_R,sample
61A3B002301,253.0133,504.1096,147
61A3B001958,224.64,396.5902,147
61A3B006009,564.6933,467.4133,147
61A3B006602,257.0811,376.3692,147
61A3B006008,260.0533,375.662,147
61A3B005730,542.0541,576.4295,148
61A3B004839,232.96,354.0157,148
61A3B006623,527.4631,443.0933,148
61A3B003244,573.8523,492.5867,148
61A3B003489,570.24,643.531,148
61A3B004994,265.8133,443.2868,149
61A3B004244,344.1067,425.4545,149
61A3B005480,172.16,400.6154,149
61A3B002254,346.6667,516.2667,149
61A3B004667,566.6133,478.08,149
61A3B001926,557.44,745.8462,150
61A3B002306,561.7067,538.88,150
61A3B006587,545.0667,527.4631,150
61A3B004119,220.16,354.0813,150
61A3B003467,249.8133,604.0702,150
61A3B006586,229.3333,383.0588,151
61A3B006589,550.4,749.8667,151
61A3B004241,211.4133,416.3404,151
61A3B002255,275.5436,502.8571,151
61A3B004991,572.3733,546.3784,151
